id,highway,cycleway,name,surface,geometry
way/4531417,tertiary,track,Paulsborner Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2967255, 52.4927601], [13.297022, 52.4928969], [13.2971982, 52.4929826], [13.2973824, 52.4930722], [13.2974933, 52.4931291], [13.2977543, 52.4932631], [13.2977712, 52.4932718], [13.2978742, 52.4933249], [13.2980129, 52.4933926], [13.2993029, 52.4940224], [13.2995971, 52.4941661]]}"
way/4531629,residential,track,Langenscheidtstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3608939, 52.4900998], [13.3615123, 52.489714]]}"
way/4535386,residential,opposite,Landauer Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3186697, 52.4727345], [13.3171773, 52.4729035]]}"
way/4535432,residential,opposite,Rüdesheimer Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3142516, 52.4720078], [13.3142309, 52.4719587], [13.314074, 52.4717447], [13.3136151, 52.4711191], [13.3134976, 52.4709635], [13.3131566, 52.4705101], [13.3131296, 52.4704766]]}"
way/4536805,secondary,separate,Schmiljanstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3294681, 52.4708934], [13.3295556, 52.4708262], [13.3309179, 52.4699707]]}"
way/4536810,secondary,separate,Saarstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3334372, 52.4686213], [13.3334455, 52.4686181], [13.3338905, 52.4684453], [13.3344617, 52.4682234], [13.3345229, 52.4681996], [13.3345413, 52.4681925]]}"
way/4540288,residential,track,Bremer Straße,sett,"{""type"": ""LineString"", ""coordinates"": [[13.339454, 52.5338758], [13.3394419, 52.5338249], [13.3392331, 52.5329717]]}"
way/4546470,tertiary,track,Teichstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3476216, 52.5735793], [13.3475641, 52.5731955], [13.3474916, 52.5727543], [13.3474763, 52.5726722], [13.3474682, 52.5726204], [13.3474557, 52.5725409], [13.3472435, 52.5711888], [13.3472142, 52.5710022], [13.3471892, 52.5708848], [13.347098, 52.5703309], [13.3470624, 52.5700936], [13.3469402, 52.5693516], [13.3468914, 52.5690495], [13.3468785, 52.5689801], [13.3468437, 52.5687542], [13.3468334, 52.5686877], [13.3468147, 52.5685704], [13.3467905, 52.5683998], [13.3467812, 52.5683346], [13.346776, 52.5683079], [13.3467686, 52.5682639], [13.3467434, 52.5681147], [13.3466909, 52.5678032], [13.3466176, 52.5674361], [13.3465898, 52.5672969], [13.3465847, 52.5672213], [13.3465872, 52.5671476], [13.3466053, 52.567033]]}"
way/4553255,secondary,track,Fürstenbrunner Weg,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2743664, 52.5279608], [13.2753667, 52.5275548], [13.2781066, 52.5264715]]}"
way/4553256,secondary,track,Fürstenbrunner Weg,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2737377, 52.5281631], [13.27396, 52.5281025], [13.2741667, 52.5280341], [13.2743664, 52.5279608]]}"
way/4555095,cycleway,crossing,N/A,paving_stones,"{""type"": ""LineString"", ""coordinates"": [[13.360934, 52.5553783], [13.3609618, 52.5553596], [13.3610127, 52.5553382], [13.3610804, 52.5553103], [13.36117, 52.5552433], [13.3612025, 52.5552189], [13.3612254, 52.5551913], [13.3612605, 52.5550605], [13.3612789, 52.5550015], [13.3612883, 52.5549715]]}"
way/4574161,residential,no,Willy-Brandt-Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3704992, 52.5209207], [13.370816, 52.5207463]]}"
way/4575724,tertiary,track,Paulsborner Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2876738, 52.4879573], [13.2878599, 52.488058], [13.2879544, 52.4881088], [13.2880261, 52.4881473], [13.2881053, 52.4881876], [13.2882287, 52.4882528], [13.2883493, 52.4883189]]}"
way/4581765,residential,track,Birkenstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3497171, 52.5301187], [13.3499326, 52.5300641], [13.3508566, 52.5298086]]}"
way/4581884,tertiary,no,Rhenaniastraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2284587, 52.5536144], [13.2305468, 52.5529039], [13.2309946, 52.5527539], [13.2310883, 52.5527213], [13.2312954, 52.5526511], [13.2316261, 52.552543], [13.2319333, 52.5524018], [13.2322972, 52.5522185], [13.2330086, 52.5518602], [13.2335706, 52.5515771], [13.2339791, 52.5513713]]}"
way/4583124,residential,opposite,Heylstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3429822, 52.4807129], [13.3430709, 52.4807272], [13.3433266, 52.4807693], [13.3435565, 52.4808033], [13.3439091, 52.4808463], [13.3440373, 52.4808545], [13.3444143, 52.4808803], [13.3447274, 52.4808913]]}"
way/4585102,secondary,separate,Sachsendamm,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3695284, 52.4710332], [13.3687868, 52.471591]]}"
